Comment,Location,UserId,Compound,Negative,Neutral,Positive,PublishedDate,UpdateDate
Amazon lockers are so good. Helping many customers to get their order delivered fast., ,Anjali Bansal,0.7857,0.0,58.099999999999994,41.9,2019-06-12 19:45:08,2019-06-12 19:45:08
this is a common thing sweden, ,Kaplel,0.0,0.0,100.0,0.0,2019-05-31 13:41:29,2019-05-31 13:41:29
I didn't know this existed until now. Brilliant. Now I don't even have to talk to anyone., ,Rich Smith,0.5859,0.0,78.7,21.3,2019-05-17 08:44:36,2019-05-17 08:44:36
\U0001f602, ,T aviation68,0.0,0.0,100.0,0.0,2019-03-28 23:58:27,2019-03-28 23:58:27
How to get a vape, ,T aviation68,0.0,0.0,100.0,0.0,2019-03-28 23:58:20,2019-03-28 23:58:20
"thank you, these are great! I have a terrible and overly complicated setup at my apartment the packages never arrive. this is just so perfect.", ,nino,0.8602,9.2,56.3,34.5,2019-03-09 00:27:39,2019-03-09 00:27:39
Looks like I have to start using this since some jackass in my apartment building has sticky fingers., ,ilovepink86,-0.0772,13.8,73.9,12.3,2019-02-27 03:53:27,2019-02-27 03:53:27
Cool little review and knowledgeable, ,franco Jr,0.3182,0.0,63.5,36.5,2019-02-14 19:12:20,2019-02-14 19:12:20
This was the best how to video. Thanks chap!, ,jubeiBrow,0.8122,0.0,48.6,51.4,2019-01-24 23:53:38,2019-01-24 23:53:38
"Thanks, informative video!", ,noSwearINGonMyCHRISTIANsERVER,0.4926,0.0,38.5,61.5,2019-01-09 04:16:58,2019-01-09 04:16:58
I'd like to ask for how long product may be kept in locker ?, ,Matthew MT,0.3612,0.0,82.8,17.2,2018-12-25 20:43:38,2018-12-25 20:43:38
Matthew MT Three days., ,Charles Lyell,0.0,0.0,100.0,0.0,2019-04-10 01:02:51,2019-04-10 01:02:51
"I'm trying it for the first time.....More importantly,there is a liquor store attached to the store where the locker is......", ,James Darr,0.0,0.0,100.0,0.0,2018-12-24 19:41:32,2018-12-24 19:41:32
Wow coool. Nice \U0001f44d\U0001f3fc idea, ,Gladiator Spear,0.765,0.0,31.2,68.8,2018-12-23 09:37:34,2018-12-23 09:37:34
"Thank you, I wasn\u2019t sure what to expect in using the locker.", ,mochakreme,0.5859,0.0,65.2,34.8,2018-12-22 20:48:16,2018-12-22 20:48:16
Amazon locker=no more porch pirates, ,Anu Miller,0.1779,0.0,70.19999999999999,29.799999999999997,2018-12-08 05:54:08,2018-12-08 05:54:08
Pretty much nonsense to put an Amazon Locker into a grocery store or is it 24/7 ?, ,Zardoz,0.296,13.8,61.199999999999996,25.0,2018-12-05 13:59:42,2018-12-05 13:59:54
This video is extremely British lol., ,Viq,0.4728,0.0,61.9,38.1,2018-12-02 17:05:25,2018-12-02 17:05:25
this is a life saver so your parents don't know what you order, ,Its Volatile,0.0,0.0,100.0,0.0,2018-11-25 21:59:09,2018-11-25 21:59:09
i just checked and you can't buy 18+ stuff to send to the locker this in UK, ,blocET,0.0,0.0,100.0,0.0,2019-06-07 15:49:35,2019-06-07 15:49:35
This is what I'm gonna do cause I'm gonna start a lipgloss business so exited !!!!\U0001f60a, ,xolaylayxo,0.0,0.0,100.0,0.0,2019-05-05 11:47:07,2019-05-05 11:47:07
@xpikez hagahahah, ,FaithNoMoreAddict 6,0.0,0.0,100.0,0.0,2019-04-03 00:48:29,2019-04-03 00:48:29
Pocket pussy, ,xPikez,0.0,0.0,100.0,0.0,2019-02-12 23:04:12,2019-02-12 23:04:12
@Its Volatile lol, ,Chance Hagler,0.4215,0.0,41.699999999999996,58.3,2018-12-20 23:58:03,2018-12-20 23:58:03
@Geovany Veleta nibba no, ,Its Volatile,-0.296,42.3,57.699999999999996,0.0,2018-11-29 15:40:12,2018-11-29 15:40:12
Its Volatile stop buying vape online., ,Geovany Veleta,-0.296,30.599999999999998,69.39999999999999,0.0,2018-11-29 07:07:06,2018-11-29 07:07:06
Very Helpful, ,Fish N Dishin,0.4754,0.0,24.4,75.6,2018-11-16 03:01:03,2018-11-16 03:01:03
